date,bitcoin
2023-07-11,86.26527664948594
2023-07-12,93.11172717722292
2023-07-13,104.06604802160209
2023-07-14,112.28178865488645
2023-07-15,93.11172717722292
2023-07-16,91.74243707167552
2023-07-17,91.74243707167552
2023-07-18,93.11172717722292
2023-07-19,87.63456675503333
2023-07-20,93.11172717722292
2023-07-21,86.26527664948594
2023-07-22,79.41882612174896
2023-07-23,79.41882612174896
2023-07-24,91.74243707167552
2023-07-25,84.89598654393855
2023-07-26,89.00385686058073
2023-07-27,86.26527664948594
2023-07-28,83.52669643839114
2023-07-29,79.41882612174896
2023-07-30,72.57237559401197
2023-07-31,89.00385686058073
2023-08-01,86.26527664948594
2023-08-02,86.26527664948594
2023-08-03,83.52669643839114
2023-08-04,90.37314696612812
2023-08-05,86.26527664948594
2023-08-06,83.52669643839114
2023-08-07,84.89598654393855
2023-08-08,87.63456675503333
2023-08-09,93.11172717722292
2023-08-10,93.1117271772229
2023-08-10,93.11172717722292
2023-08-11,83.52669643839114
2023-08-11,83.52669643839113
2023-08-12,75.31095580510676
2023-08-12,75.31095580510677
2023-08-13,73.94166569955938
2023-08-13,73.94166569955937
2023-08-14,83.52669643839114
2023-08-14,83.52669643839113
2023-08-15,82.15740633284373
2023-08-15,82.15740633284375
2023-08-16,87.63456675503332
2023-08-16,87.63456675503333
2023-08-17,101.32746781050727
2023-08-17,101.32746781050729
2023-08-18,136.92901055473956
2023-08-18,136.9290105547396
2023-08-19,112.28178865488644
2023-08-19,112.28178865488645
2023-08-20,94.4810172827703
2023-08-20,94.48101728277031
2023-08-21,90.37314696612812
2023-08-21,90.3731469661281
2023-08-22,94.48101728277031
2023-08-22,94.4810172827703
2023-08-23,95.85030738831769
2023-08-23,95.8503073883177
2023-08-24,86.26527664948593
2023-08-24,86.26527664948594
2023-08-25,89.00385686058073
2023-08-25,89.00385686058071
2023-08-26,78.04953601620154
2023-08-27,79.41882612174895
2023-08-28,86.26527664948593
2023-08-29,108.17391833824425
2023-08-30,90.3731469661281
2023-08-31,84.89598654393853
2023-09-01,90.3731469661281
2023-09-02,79.41882612174895
2023-09-03,79.41882612174895
2023-09-04,80.78811622729634
2023-09-05,80.78811622729634
2023-09-06,78.04953601620154
2023-09-07,80.78811622729634
2023-09-08,84.89598654393853
2023-09-09,76.68024591065415
2023-09-09,77.0
2023-09-10,71.0
2023-09-10,71.20308548846457
2023-09-11,79.41882612174895
2023-09-11,79.0
2023-09-12,85.0
2023-09-12,84.89598654393853
2023-09-13,80.78811622729634
2023-09-13,81.0
2023-09-14,78.0
2023-09-14,78.04953601620154
2023-09-15,75.31095580510676
2023-09-15,75.0
2023-09-16,72.0
2023-09-16,71.20308548846457
2023-09-17,68.46450527736978
2023-09-17,68.0
2023-09-18,83.52669643839113
2023-09-18,84.0
2023-09-19,79.41882612174895
2023-09-19,79.0
2023-09-20,80.78811622729634
2023-09-20,80.0
2023-09-21,82.15740633284373
2023-09-21,83.0
2023-09-22,74.0
2023-09-22,73.94166569955937
2023-09-23,67.0
2023-09-23,67.09521517182239
2023-09-24,63.0
2023-09-24,62.9873448551802
2023-09-25,73.0
2023-09-26,75.0
2023-09-27,71.0
2023-09-28,70.0
2023-09-29,82.0
2023-09-30,66.0
2023-10-01,71.0
2023-10-02,100.0
2023-10-03,87.0
2023-10-04,74.0
2023-10-05,72.0
2023-10-06,80.0
2023-10-07,63.0
2023-10-08,70.0
2023-10-09,76.0
2023-10-10,77.0
2023-10-11,76.0
2023-10-12,81.0
2023-10-13,73.0
2023-10-14,62.0
2023-10-15,67.0
2023-10-16,94.0
2023-10-17,94.0
2023-10-18,81.0
2023-10-19,73.0
2023-10-20,98.0
